STD_YM,DAY_CD,INDTY_CGR_NM,CTPV_NM,CTGG_NM,RANK,YEAR,MONTH
201907,1,양식,부산광역시,사상구,1,2019,7
201907,1,한식,부산광역시,사상구,2,2019,7
201907,1,중식,부산광역시,사상구,3,2019,7
201907,1,동남아,부산광역시,사상구,4,2019,7
201907,2,양식,부산광역시,사상구,1,2019,7
201907,2,한식,부산광역시,사상구,2,2019,7
201907,2,중식,부산광역시,사상구,3,2019,7
201907,2,동남아,부산광역시,사상구,4,2019,7
201907,2,양식,부산광역시,사상구,5,2019,7
201907,3,양식,부산광역시,사상구,1,2019,7
201907,3,한식,부산광역시,사상구,2,2019,7
201907,3,중식,부산광역시,사상구,3,2019,7
201907,3,동남아,부산광역시,사상구,4,2019,7
201907,4,양식,부산광역시,사상구,1,2019,7
